age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,19868,YES,2,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,RURAL,10953,YES,3,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,RURAL,13381,NO,0,YES,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,18504.3,YES,0,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,SUBURBAN,25391.5,NO,2,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',MALE,TOWN,26774.2,YES,0,NO,NO,YES,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,26952.6,YES,0,YES,NO,YES,NO,NO
'\'(50.666667-inf)\'',MALE,TOWN,55716.5,NO,2,YES,YES,NO,NO,YES
'\'(-inf-34.333333]\'',FEMALE,TOWN,27571.5,YES,0,YES,NO,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,13740,NO,2,YES,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,52670.6,YES,2,NO,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,13283.9,NO,1,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,13106.6,NO,2,NO,YES,YES,YES,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,39547.8,NO,2,YES,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,RURAL,17867.3,YES,2,YES,YES,NO,NO,NO
'\'(-inf-34.333333]\'',MALE,TOWN,14309.7,NO,2,YES,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,23894.8,YES,0,NO,NO,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,16259.7,YES,1,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,SUBURBAN,29794.1,NO,1,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,TOWN,56842.5,YES,0,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,47835.8,NO,3,NO,YES,NO,NO,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,24977.5,NO,0,NO,NO,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,23124.9,YES,0,NO,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,15143.8,YES,0,NO,NO,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,25334.3,NO,1,YES,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,24763.3,YES,1,NO,YES,YES,YES,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,36589,NO,1,YES,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,27022.6,YES,2,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,11700.4,YES,0,NO,YES,NO,NO,NO
'\'(-inf-34.333333]\'',MALE,TOWN,5014.21,NO,0,YES,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,17390.1,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,TOWN,10861,NO,2,NO,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,34892.9,NO,0,NO,YES,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,TOWN,19403.1,NO,2,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,RURAL,10441.9,YES,2,NO,NO,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14064.9,YES,3,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,8062.73,NO,0,NO,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,31982,YES,3,YES,YES,YES,YES,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,23197.5,YES,2,NO,YES,NO,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,52674,NO,2,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,RURAL,35610.5,NO,2,YES,NO,NO,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,26948,NO,0,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,49456.7,YES,1,YES,YES,YES,YES,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,14724.5,YES,0,YES,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,34524.9,YES,2,YES,YES,NO,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,22052.1,NO,3,NO,YES,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,27808.1,NO,3,NO,NO,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,12591.4,YES,1,NO,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,16394.4,YES,1,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,24026.1,YES,0,NO,NO,YES,YES,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,31683.1,YES,1,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,15525,YES,0,NO,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,22562.2,NO,0,YES,YES,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,SUBURBAN,15848.7,YES,0,YES,YES,NO,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,31095.6,YES,2,NO,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,24814.5,YES,1,YES,NO,YES,YES,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,25429.3,NO,2,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,34866.5,NO,0,NO,NO,YES,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,42579.1,YES,2,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,41127.4,YES,0,YES,YES,NO,NO,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,9990.11,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,7948.62,YES,1,NO,NO,NO,YES,NO
'\'(-inf-34.333333]\'',MALE,TOWN,30870.8,YES,2,YES,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,12125.8,NO,2,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,RURAL,15348.9,YES,0,YES,NO,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,26707.9,YES,1,NO,YES,YES,YES,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,11604.4,YES,2,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,15499.9,YES,0,YES,NO,YES,YES,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,33088.5,NO,0,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,34513.6,YES,1,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,32395.5,YES,3,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,RURAL,46633,YES,0,YES,YES,NO,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,13039.9,YES,0,NO,NO,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,12681.9,NO,0,NO,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,24031.5,YES,2,YES,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,37330.5,NO,2,NO,YES,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,25333.2,YES,3,YES,NO,NO,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,37094.2,YES,0,YES,NO,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,33630.6,NO,2,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,43228.2,YES,1,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,47796.8,YES,0,NO,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,21730.3,YES,2,NO,YES,NO,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,10044.1,YES,3,NO,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,17270.1,NO,0,YES,NO,NO,NO,YES
'\'(50.666667-inf)\'',FEMALE,RURAL,45765,YES,3,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,RURAL,29525.5,NO,2,NO,YES,NO,YES,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,54863.8,YES,1,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,20799,YES,1,NO,YES,NO,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,RURAL,33028.3,NO,1,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,RURAL,45031.9,NO,3,YES,YES,NO,NO,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,39010.8,YES,2,NO,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,25257.7,YES,0,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,42603.9,YES,0,NO,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,14092.7,YES,3,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,RURAL,21350.3,NO,0,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,23246.4,NO,2,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',MALE,RURAL,41609.5,YES,3,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,SUBURBAN,16716.1,NO,2,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,SUBURBAN,36436.4,YES,0,YES,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,59503.8,YES,2,YES,YES,YES,YES,YES
'\'(50.666667-inf)\'',FEMALE,TOWN,31334.8,YES,1,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,14048.9,YES,2,YES,NO,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,39205.3,NO,0,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,RURAL,42173.9,YES,0,NO,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,55263,NO,1,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,37095.2,YES,3,NO,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,22791.4,YES,0,NO,NO,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,17240.6,YES,1,YES,NO,NO,YES,NO
'\'(50.666667-inf)\'',MALE,TOWN,48974.8,YES,0,YES,YES,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,18923,YES,1,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,SUBURBAN,51204.2,YES,0,NO,YES,NO,YES,YES
'\'(-inf-34.333333]\'',MALE,TOWN,20236.2,YES,2,YES,NO,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,18860.3,NO,2,NO,YES,YES,NO,NO
'\'(50.666667-inf)\'',MALE,RURAL,25732.5,YES,0,YES,YES,NO,NO,NO
'\'(-inf-34.333333]\'',FEMALE,SUBURBAN,28240.4,YES,3,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',MALE,RURAL,28193.6,YES,1,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,36432.8,NO,2,YES,NO,YES,NO,YES
'\'(50.666667-inf)\'',MALE,TOWN,54618.8,YES,2,NO,YES,NO,YES,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,24760.8,YES,1,NO,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',MALE,RURAL,23356.1,NO,2,YES,NO,NO,NO,NO
'\'(-inf-34.333333]\'',FEMALE,SUBURBAN,8143.75,YES,2,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,26462.5,YES,0,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,RURAL,20467.3,YES,2,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,21506.2,YES,0,NO,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,15315.3,YES,1,NO,YES,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,18875.7,YES,2,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,12977.2,YES,0,NO,NO,NO,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,20708.5,NO,3,NO,NO,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,7549.38,NO,1,YES,NO,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,24904,YES,0,NO,NO,NO,NO,NO
'\'(-inf-34.333333]\'',MALE,RURAL,24071.8,YES,1,NO,NO,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,TOWN,9589.91,NO,1,NO,YES,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,8562.86,NO,1,NO,NO,NO,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,26707.5,NO,0,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,34020.5,YES,0,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,49175.7,YES,0,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,19726.3,YES,2,NO,NO,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,24346.6,YES,3,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,RURAL,26999.4,YES,1,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,TOWN,41558.1,YES,2,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,56340.3,NO,0,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,37558.5,YES,0,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,30099.3,YES,0,YES,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,15254.8,YES,0,NO,NO,NO,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,36086.1,YES,2,NO,NO,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,17655,YES,1,NO,YES,YES,YES,YES
'\'(50.666667-inf)\'',MALE,RURAL,56658.9,NO,0,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,37706.5,NO,0,YES,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,18516,YES,2,YES,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,29622,NO,0,YES,YES,NO,YES,NO
'\'(34.333333-50.666667]\'',MALE,RURAL,32669.9,YES,1,YES,YES,YES,YES,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,18275.5,YES,0,NO,NO,NO,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,34410,YES,1,NO,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,34866.9,YES,2,YES,NO,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,21796.6,YES,0,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,SUBURBAN,63130.1,YES,2,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,14996.4,YES,1,YES,YES,NO,NO,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,49024.9,YES,3,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,16249.8,YES,0,YES,NO,YES,YES,YES
'\'(50.666667-inf)\'',MALE,SUBURBAN,36192.1,YES,2,YES,NO,YES,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,17839.9,YES,1,NO,YES,NO,YES,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,18802.4,NO,0,NO,NO,YES,YES,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,48720.3,YES,2,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14585.9,NO,2,NO,NO,YES,YES,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,20819,YES,0,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,26077.8,YES,1,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,41627.1,YES,0,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,16977.3,YES,0,NO,NO,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,19012.8,NO,3,YES,NO,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,12764.8,YES,1,NO,YES,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14388.6,NO,0,YES,NO,YES,YES,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,59409.1,NO,0,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,14960.2,YES,0,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,39666.6,YES,0,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,20771.9,NO,0,NO,YES,NO,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,24474.1,NO,0,YES,NO,NO,NO,YES
'\'(50.666667-inf)\'',MALE,TOWN,33123.7,YES,1,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14433.4,YES,0,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,TOWN,13175.5,NO,1,NO,NO,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,9824.37,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,SUBURBAN,17610.3,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,SUBURBAN,15156.2,YES,0,YES,NO,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,31774.1,YES,3,YES,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,31693.5,NO,0,YES,YES,NO,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,28598.7,YES,0,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,26261.7,NO,2,YES,NO,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,42124.1,YES,2,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,39308.7,YES,1,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,43530,YES,0,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',MALE,RURAL,49874.4,YES,3,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,RURAL,27434.8,NO,0,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,50474.6,YES,2,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,TOWN,24888.2,NO,0,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,RURAL,28021.6,NO,0,YES,NO,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,12279.5,NO,0,YES,NO,NO,NO,YES
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,30189.4,YES,0,YES,NO,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,28969.4,NO,1,NO,NO,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,SUBURBAN,14058.5,YES,0,NO,NO,YES,YES,YES
'\'(-inf-34.333333]\'',FEMALE,TOWN,30404.3,YES,0,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,41438.2,NO,3,NO,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,16711.3,NO,1,NO,YES,YES,YES,YES
'\'(50.666667-inf)\'',MALE,TOWN,52255.9,NO,2,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,17866.9,YES,2,NO,YES,YES,YES,NO
'\'(-inf-34.333333]\'',FEMALE,RURAL,18067.5,YES,2,NO,YES,NO,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,12823.7,YES,0,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,RURAL,11299.3,YES,2,YES,NO,NO,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,56031.1,NO,0,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,35263.5,YES,1,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,19968.1,YES,0,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,RURAL,27825.5,YES,2,YES,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,SUBURBAN,37773.9,NO,0,YES,YES,YES,YES,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,7606.25,NO,3,YES,NO,NO,NO,NO
'\'(-inf-34.333333]\'',MALE,RURAL,21384.4,YES,0,NO,NO,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,20347,YES,3,NO,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,21332.3,YES,3,YES,NO,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,57671.7,NO,0,NO,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,36057.8,YES,1,YES,YES,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14290.5,YES,2,NO,NO,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,17882.9,YES,1,NO,NO,NO,NO,YES
'\'(-inf-34.333333]\'',FEMALE,RURAL,10629.1,NO,3,NO,YES,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,24262.8,NO,0,YES,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,26097.9,NO,2,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,23371,YES,2,NO,NO,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,21495.6,NO,3,NO,NO,YES,YES,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,12166.9,NO,0,NO,NO,NO,NO,NO
'\'(-inf-34.333333]\'',MALE,SUBURBAN,17180.2,YES,0,NO,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,28882.3,YES,1,NO,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,21612.2,YES,0,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,46358.4,YES,0,YES,YES,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,19166,NO,0,YES,YES,NO,NO,YES
