id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_category
105,832,no,0.7,has,2,1,39,0.7,103,4,3,125,1504,1799,5,2,11,yes,0,YES,0
106,1661,no,1.9,Yes,5,0,23,1,172,5,10,846,1634,2676,12,6,11,No,1,yes,1
107,1657,yes,2.4,NO,3,0,42,0.1,198,5,16,1770,1796,2597,18,1,14,yes,0,no,1
108,1135,yes,2,Has,0,0,46,0.3,83,1,4,293,1846,3029,19,17,9,has,1,yes,1
109,1775,Has,1.5,no,3,0,41,0.1,163,1,7,1633,1869,2343,19,13,14,yes,1,yes,1
110,783,Not,1.8,yes,0,1,43,1,106,3,4,1198,1471,2016,16,4,18,Yes,1,No,0
111,617,yes,2.3,Not,0,0,32,0.5,199,7,20,768,874,2213,18,13,7,no,0,no,0
112,867,no,1.4,yes,0,1,4,0.7,135,6,1,70,1974,790,13,6,3,yes,1,not,0
113,1310,Has,1.1,yes,13,0,7,1,194,5,14,117,513,3182,8,4,5,Has,1,No,0
114,1804,NO,0.5,No,9,1,22,0.6,153,7,19,1158,1244,3472,9,1,20,yes,0,yes,1
115,1900,yes,2.3,No,1,1,18,0.2,89,7,9,1055,1661,2871,12,1,13,Has,1,yes,1
116,909,Has,1.4,no,0,0,53,0.3,82,8,0,635,973,3187,12,9,4,yes,0,no,0
117,1084,YES,2.6,no,3,1,40,0.9,107,3,11,322,771,1945,15,4,10,yes,1,no,0
118,1308,NO,1.3,Yes,8,0,46,0.9,199,1,12,275,989,488,5,3,9,no,1,no,0
119,1778,no,0.5,no,0,0,15,0.5,102,3,0,1445,1954,1214,5,0,14,Yes,0,NO,0
120,1701,yes,1.6,YES,3,0,10,0.3,194,8,7,550,1338,2598,12,9,6,no,1,NO,0
121,772,yes,2.4,YES,1,1,10,0.5,80,4,2,1242,1712,3242,18,11,4,Yes,1,No,1
122,825,yes,0.5,Yes,7,0,52,0.9,130,3,10,597,863,3534,10,4,6,no,1,no,1
123,1379,no,1.1,no,5,1,36,0.8,200,2,7,538,1376,3426,5,4,17,yes,1,yes,1
124,1166,No,2,no,3,1,25,0.8,198,5,4,59,1203,2488,13,5,15,Yes,0,no,0
125,1659,no,2.8,no,5,0,16,0.6,89,1,20,819,902,3255,19,14,9,no,0,Has,1
126,826,yes,2.4,has,0,1,58,0.3,88,4,1,179,786,2863,9,3,18,Yes,0,YES,0
127,1564,no,2.3,No,4,1,25,0.5,189,6,17,1259,1965,1496,6,4,7,yes,1,Yes,0
128,1957,No,0.9,yes,11,0,31,0.6,181,3,16,396,1732,3801,12,0,7,yes,0,yes,1
129,1571,NO,1.4,NO,0,1,19,0.1,100,6,1,713,1398,666,12,10,13,Has,1,no,0
130,1414,no,2,yes,2,0,54,0.8,99,7,3,262,829,3799,17,7,7,yes,0,yes,1
131,1790,no,2.5,yes,9,0,2,0.1,184,1,14,622,792,1366,7,0,20,yes,1,yes,0
132,645,No,0.5,no,1,0,41,1,197,7,10,327,580,2962,12,9,4,Yes,1,Yes,0
133,668,NO,2.9,has,7,0,30,0.2,195,8,12,522,1056,2399,10,5,7,YES,1,yes,0
134,1652,yes,1.1,yes,1,0,36,0.7,89,4,5,313,1264,2338,12,8,20,no,0,no,0
135,1213,yes,0.5,Not,0,0,16,0.5,108,5,0,226,1248,2700,12,3,9,no,0,yes,0
136,1272,Yes,2.5,yes,0,0,22,0.9,133,6,8,605,669,2235,19,4,4,yes,0,no,0
137,866,not,0.5,yes,5,1,46,0.5,179,8,7,692,1686,3825,12,11,2,Yes,1,yes,1
138,536,NO,2.4,Yes,12,1,3,0.3,182,7,14,1386,1539,284,12,9,4,Yes,1,no,0
139,523,no,2.6,yes,1,0,14,0.1,155,8,2,304,1042,1427,9,1,9,no,1,no,0
140,1753,no,0.5,yes,0,1,31,0.1,134,1,18,1590,1926,1324,17,0,17,yes,0,YES,0
141,1218,Not,1.8,Yes,1,1,14,0.5,147,3,4,229,616,398,17,0,5,yes,0,no,0
142,1537,yes,2.5,no,4,1,43,0.3,137,1,5,839,1131,3685,18,17,17,yes,1,yes,1
143,786,no,2.2,YES,0,0,33,0.5,141,7,6,507,1697,2390,12,11,5,yes,0,yes,0
144,1678,no,2.1,no,3,1,64,0.9,134,3,11,436,536,278,19,0,10,YES,1,No,0
145,1814,no,1.4,yes,1,1,9,0.4,141,2,2,756,786,3556,18,12,16,yes,0,No,1
146,1101,no,1.8,no,0,0,31,0.2,148,2,7,387,1269,2196,12,6,19,no,1,yes,0
147,1461,no,2.4,yes,3,1,40,0.5,141,7,4,1265,1298,3799,16,1,4,yes,0,No,1
148,1216,No,3,NO,4,0,47,0.4,199,3,7,1852,1967,2268,13,5,4,Not,1,yes,0
149,506,not,1.6,No,6,1,41,0.8,159,1,7,875,1025,2965,13,10,15,yes,0,no,0
150,843,yes,0.5,no,1,1,56,0.1,147,5,17,140,800,2341,10,1,20,yes,1,yes,0
151,742,No,2.2,yes,4,0,56,0.2,190,7,14,577,1359,3557,16,11,12,no,1,yes,1
152,1692,yes,2.1,no,3,1,61,0.9,176,6,12,975,1996,1354,16,7,19,yes,0,No,0
153,1485,not,1,No,2,1,32,0.7,84,2,9,510,1013,2147,19,1,11,Yes,1,no,0
154,1547,no,2.9,yes,6,0,45,0.7,166,2,8,583,590,505,12,2,3,no,1,yes,0
155,1692,not,2.3,YES,4,1,46,0.9,139,1,6,674,1925,1394,16,10,6,Has,1,No,0
156,637,no,2.3,no,3,1,60,0.8,97,4,4,1125,1989,374,18,4,8,yes,0,yes,0
157,1224,not,0.5,no,16,1,6,0.4,109,6,18,747,826,506,10,0,11,yes,1,yes,0
158,1356,no,2.8,no,0,0,29,0.5,198,6,0,1612,1983,3702,17,0,19,NO,0,No,1
159,1840,Not,0.5,Yes,12,0,34,0.7,142,1,16,311,1545,1078,8,0,10,no,0,no,0
160,1481,Has,0.7,yes,4,1,37,0.6,96,5,13,116,1533,2945,10,5,16,Yes,1,Has,0
161,961,yes,1.5,yes,10,0,51,0.3,152,6,16,554,621,2981,15,6,7,yes,1,yes,0
162,1296,No,0.9,yes,0,1,14,0.5,124,5,3,811,1272,490,7,1,4,yes,1,yes,0
163,1193,no,0.9,NO,11,0,26,0.5,166,1,20,730,1729,536,17,14,4,yes,0,Yes,0
164,1441,NO,2.1,has,11,1,3,0.1,118,8,17,577,1071,2317,16,4,7,yes,0,YES,0
165,517,No,1.4,yes,3,1,33,0.8,183,4,8,660,974,3704,17,16,11,yes,0,yes,1
166,748,yes,1.7,no,0,1,27,0.9,150,8,4,450,1554,2126,18,9,7,yes,0,Not,0
167,1126,yes,2.4,No,2,1,10,0.4,160,6,3,1223,1611,2050,7,6,12,yes,1,yes,0
168,1572,no,0.6,no,0,1,58,0.2,157,7,8,1109,1937,2462,12,8,10,yes,0,No,1
169,1569,no,2.8,yes,17,0,44,0.3,110,4,20,45,1942,1260,9,2,17,yes,0,no,0
170,1270,yes,0.6,yes,2,1,32,0.5,101,7,6,299,845,3770,5,3,13,yes,1,no,1
171,1854,Not,3,no,2,1,8,0.1,101,5,5,506,627,1886,17,4,20,has,1,no,0
172,625,yes,1.2,yes,5,1,10,0.2,183,4,8,635,842,3323,9,1,7,Yes,1,Yes,0
173,1577,no,0.5,has,0,1,42,0.3,197,5,4,1045,1737,2060,19,6,12,yes,0,no,0
174,534,no,0.5,YES,0,1,16,1,189,5,1,393,1199,3926,16,12,20,Yes,0,No,1
175,946,NO,1.7,yes,8,1,25,0.8,143,6,15,650,1740,2177,7,5,13,yes,1,yes,0
176,685,no,0.5,No,2,0,29,0.8,93,7,10,433,648,728,14,8,4,NO,0,Yes,0
177,1949,no,1.3,yes,0,0,23,0.1,101,5,1,839,1136,2478,14,8,20,yes,0,Not,1
178,947,no,0.8,yes,0,1,22,0.1,197,2,13,1176,1220,2842,16,12,2,YES,0,no,0
179,801,yes,2.2,YES,2,0,63,0.4,165,7,4,650,879,1617,17,4,19,No,0,yes,0
180,703,Yes,2.7,Not,12,1,30,0.3,113,1,20,218,1065,1472,14,7,7,yes,0,no,0
181,1165,yes,2.4,no,11,0,41,0.2,178,6,12,564,831,764,19,12,15,Yes,0,Not,0
182,1082,no,0.8,no,0,0,38,0.1,198,8,5,986,1191,2337,6,1,17,No,1,Has,0
183,959,yes,2.6,has,15,0,20,1,84,4,19,561,1631,3965,16,1,6,Yes,0,Not,1
184,1502,yes,1.2,no,0,0,54,0.2,138,5,12,65,588,3693,17,14,16,yes,1,no,1
185,1380,yes,2.1,Yes,1,1,4,0.8,92,3,13,420,500,797,13,2,15,YES,1,no,0
186,1266,NO,0.5,No,0,1,5,0.1,95,6,9,1365,1698,1687,11,0,18,yes,0,no,0
187,1934,Yes,2.6,yes,0,1,46,0.1,103,1,17,619,1299,2940,13,9,2,yes,1,yes,1
188,1905,yes,0.5,no,3,1,6,0.5,151,1,5,849,898,1545,9,5,10,yes,1,no,0
189,1831,No,1.4,yes,2,0,43,0.9,150,5,5,611,1381,3834,17,7,13,yes,1,yes,1
190,596,No,1.4,No,8,0,46,0.6,165,1,18,953,984,2505,15,4,15,yes,1,no,0
191,1562,yes,1.3,yes,1,1,7,0.2,190,5,15,642,1533,2243,12,10,6,yes,0,no,0
192,1490,YES,0.5,yes,4,1,64,0.3,150,8,8,1417,1464,3600,17,9,7,has,1,yes,1
193,1523,yes,2.4,No,5,1,57,0.2,117,2,6,247,539,3971,18,12,10,YES,1,yes,1
194,640,no,0.6,No,0,0,20,0.1,163,4,15,710,1179,2844,7,5,18,Yes,1,no,0
195,1526,no,2.1,NO,1,1,23,0.2,117,7,8,718,751,2227,18,10,3,yes,1,no,0
196,1989,no,2.5,Yes,0,1,41,0.8,94,3,13,1100,1497,1665,17,9,12,yes,1,Yes,0
197,1308,Not,1.9,no,0,1,61,0.7,106,3,7,59,1215,3355,15,2,4,yes,0,has,1
198,609,No,0.5,no,3,0,26,0.3,93,4,4,938,1948,1866,11,10,14,yes,1,Yes,0
199,1905,no,0.6,yes,9,1,36,0.4,119,3,20,825,1542,1287,13,4,16,yes,0,not,0
200,1703,yes,0.5,no,0,1,22,0.6,192,1,0,286,1235,1046,5,4,13,yes,0,yes,0
201,1445,yes,2.4,yes,7,1,20,0.4,173,7,15,1273,1345,1441,7,4,13,yes,1,Yes,0
202,1087,no,1.3,no,0,1,16,0.3,166,3,9,295,589,690,14,6,6,yes,0,yes,0
203,671,no,0.9,yes,10,0,30,0.7,105,7,17,852,1182,2504,6,4,15,Yes,0,no,0
204,1472,yes,2.3,not,6,0,61,0.1,168,6,19,710,1052,2677,19,15,8,yes,0,No,0
205,765,No,0.5,yes,0,1,47,0.3,115,8,1,1277,1429,2243,11,7,4,yes,0,yes,0
206,1642,no,0.5,yes,16,1,8,0.3,171,6,17,129,873,2984,13,4,17,yes,0,yes,0
207,1265,No,1.5,no,7,0,49,0.7,182,5,16,690,836,1362,5,0,12,no,0,yes,0
208,664,yes,1.1,Has,1,1,51,0.1,110,7,4,701,1478,3629,19,15,6,yes,1,YES,1
209,1277,yes,0.5,yes,0,1,35,0.4,142,6,6,309,1460,3559,18,17,6,Yes,1,no,1
210,1395,no,1.8,Has,0,0,23,0.1,111,3,1,213,705,2571,11,0,13,yes,0,yes,0
211,1539,yes,2.6,not,0,0,41,0.1,159,8,0,1112,1666,2107,15,9,10,Has,0,yes,0
212,1049,Has,2.2,no,9,0,63,0.5,135,5,17,199,1077,1022,11,3,13,No,0,NO,0
213,1827,no,1.7,no,4,1,39,0.5,128,5,16,55,1020,2844,14,9,10,yes,1,not,0
214,903,no,1,Has,0,1,50,0.4,91,1,0,1230,1235,711,9,5,10,Yes,1,no,0
215,1987,Yes,0.5,no,3,1,53,1,181,3,7,1052,1516,3117,18,5,8,yes,1,yes,1
216,1154,no,1.2,yes,0,1,49,0.2,181,8,2,541,1499,978,5,3,7,yes,0,yes,0
217,1336,no,0.9,no,5,1,17,0.2,194,5,9,55,583,1869,13,1,16,has,1,yes,0
218,1886,no,0.5,No,0,1,24,0.4,112,3,1,809,1958,1179,16,7,20,yes,0,yes,0
219,1551,no,1.1,No,4,0,51,0.1,88,5,6,1738,1995,3844,11,8,4,no,1,no,1
220,850,yes,1.6,YES,6,1,29,0.5,133,5,19,404,642,593,19,17,10,YES,0,yes,0
221,660,no,0.5,NO,5,1,40,0.5,111,2,10,262,1178,588,6,5,18,yes,1,yes,0
222,1225,yes,2.1,Yes,8,0,13,0.5,116,4,12,759,1404,3836,12,11,11,No,0,no,1
223,1452,yes,0.5,yes,1,1,25,0.9,123,6,11,42,1040,2669,12,10,13,Has,0,no,0
224,1686,yes,2.8,Yes,3,0,38,0.1,166,4,4,397,1453,2958,14,11,2,no,0,no,1
225,1634,Yes,1.4,no,1,1,17,0.2,200,2,5,964,1677,3031,11,6,6,yes,1,yes,1
226,1708,yes,2.4,yes,18,1,49,0.1,109,1,19,233,517,3388,6,4,16,Has,1,yes,1
227,1151,yes,2.9,yes,0,0,31,0.6,128,8,1,1022,1560,2377,18,8,13,no,1,no,0
228,1578,no,1.9,yes,2,1,37,0.1,138,4,19,411,1226,2458,19,16,3,Yes,0,yes,0
229,1689,No,1.8,no,17,0,24,0.3,127,3,18,954,1200,2766,7,2,7,no,1,yes,1
230,1488,NO,0.5,No,1,0,39,0.8,112,5,6,1528,1647,3054,14,10,19,NO,0,no,1
231,1313,yes,1.8,Has,4,0,9,0.4,105,1,6,416,1308,3791,11,10,6,no,1,YES,1
232,1715,no,1,yes,4,1,31,0.5,83,8,17,638,1615,625,17,6,13,yes,0,no,0
233,1442,no,1,YES,0,0,27,0.1,192,3,19,231,687,2227,6,5,20,yes,1,no,0
234,528,no,1.7,Not,12,1,6,0.8,142,2,15,574,637,3256,9,8,6,yes,1,no,0
235,1523,yes,1.8,no,6,1,11,0.1,129,1,8,148,1606,707,19,8,19,Has,1,No,0
236,1133,no,1.4,no,3,0,42,0.1,199,5,12,730,1543,1457,18,12,20,yes,0,yes,0
237,1718,yes,2.5,yes,14,1,6,0.1,183,5,16,564,980,3755,7,1,8,yes,1,yes,1
238,1330,No,0.5,No,0,0,38,1,183,7,1,1290,1441,1733,9,0,11,yes,0,yes,0
239,1799,yes,0.5,no,0,0,49,0.4,107,4,2,632,1383,720,12,2,11,Yes,1,Yes,0
240,633,yes,2.2,no,0,1,49,0.1,139,8,1,529,1009,3560,11,1,16,yes,1,Yes,0
241,724,not,2.7,YES,0,0,44,0.5,187,7,0,1273,1754,2311,7,6,7,Yes,0,No,0
242,822,yes,0.5,no,0,1,51,0.3,157,6,20,667,860,3846,10,1,3,Yes,0,No,1
243,1918,no,1.9,no,2,0,10,0.6,110,5,10,1170,1543,1717,7,1,16,yes,1,Yes,0
244,1891,no,2.8,no,7,1,37,0.4,129,7,14,169,1108,3704,8,6,11,yes,0,No,1
245,1373,yes,1,yes,2,0,50,0.2,127,7,12,105,673,3800,8,3,14,yes,0,No,1
246,862,yes,0.8,yes,3,0,23,0.4,165,2,15,793,1758,278,16,3,11,no,0,Yes,0
247,1273,no,1,no,3,1,48,0.4,99,4,15,490,886,1767,18,15,11,yes,1,no,0
248,957,yes,2.5,no,4,0,7,0.8,107,5,10,1201,1485,1846,12,5,7,Yes,0,YES,0
249,1617,has,1.3,Yes,3,1,30,0.7,105,2,4,246,1038,829,9,0,10,yes,0,no,0
250,893,not,2.5,Yes,0,0,55,0.6,183,2,1,417,946,2986,7,1,6,No,1,yes,0
251,1210,no,0.5,No,0,0,63,0.1,93,5,0,1177,1462,2394,17,9,7,no,0,no,0
252,708,Yes,2.7,yes,0,1,63,1,195,8,7,78,654,2169,6,5,7,YES,1,has,0
253,835,no,1.1,yes,2,0,7,0.2,101,4,7,323,1604,1181,13,5,15,yes,1,yes,0
254,1450,Yes,2.7,yes,9,0,19,0.6,131,1,17,707,1882,575,15,9,12,no,0,no,0
255,973,Yes,1.5,no,5,1,57,0.2,190,7,16,457,1816,2977,6,4,2,yes,0,no,0
256,601,yes,1.4,not,4,1,4,0.1,154,4,13,356,765,532,12,8,10,yes,1,yes,0
257,507,yes,0.5,yes,1,0,32,0.5,141,7,11,936,1398,1702,17,0,5,yes,1,yes,0
258,564,no,1.8,Yes,0,1,51,0.5,168,3,1,912,1980,1074,14,8,15,Yes,1,no,0
259,1559,yes,1.6,Has,6,1,6,0.5,162,6,17,179,1559,3352,9,1,3,Yes,1,yes,1
